time,prey,predator
0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00
5.001250312578144758e-02,1.023545005045534140e+01,5.008992394571444073e+00
1.000250062515628952e-01,1.047498430140364434e+01,5.019305040787930494e+00
1.500375093773443358e-01,1.071854786526941083e+01,5.030947539648864542e+00
2.000500125031257903e-01,1.096607758466906191e+01,5.043929701366626439e+00
2.500625156289072448e-01,1.121750198777918150e+01,5.058261526063342117e+00
3.000750187546886716e-01,1.147274081254270861e+01,5.073953209004344878e+00
3.500875218804701539e-01,1.173170490071971628e+01,5.091015144024389372e+00
4.001000250062515806e-01,1.199429619788742407e+01,5.109457923527651602e+00
4.501125281320330074e-01,1.226040766870644028e+01,5.129292331550753481e+00
5.001250312578144896e-01,1.252992297305232583e+01,5.150529317826695319e+00
5.501375343835959164e-01,1.280271654890516686e+01,5.173180010379888394e+00
6.001500375093773432e-01,1.307865358642800402e+01,5.197255716056145225e+00
6.501625406351587699e-01,1.335759002514317473e+01,5.222767920316035983e+00
7.001750437609403077e-01,1.363937257790139590e+01,5.249728285381860537e+00
7.501875468867217345e-01,1.392383881562872006e+01,5.278148626747522165e+00
8.002000500125031612e-01,1.421081715218660513e+01,5.308040915188875886e+00
8.502125531382845880e-01,1.450012730381182458e+01,5.339417279681359929e+00
9.002250562640660148e-01,1.479158034538453315e+01,5.372290006088576320e+00
9.502375593898475525e-01,1.508497874747934908e+01,5.406671536283941037e+00
1.000250062515628979e+00,1.538011684441503668e+01,5.442574449767717759e+00
1.050262565641410406e+00,1.567678086540709970e+01,5.480011460818991154e+00
1.100275068767191833e+00,1.597474979250432625e+01,5.518995418441467571e+00
1.150287571892973260e+00,1.627379554503617953e+01,5.559539304267204329e+00
1.200300075018754686e+00,1.657368302990673925e+01,5.601656231757254467e+00
1.250312578144536113e+00,1.687417092539691410e+01,5.645359429704703835e+00
1.300325081270317540e+00,1.717501180038032160e+01,5.690662239601332217e+00
1.350337584396099189e+00,1.747595330468526598e+01,5.737578109207754018e+00
1.400350087521880615e+00,1.777673845715742473e+01,5.786120589426377414e+00
1.450362590647662042e+00,1.807710569851557736e+01,5.836303333522437242e+00
1.500375093773443469e+00,1.837678992114355836e+01,5.888140080751250061e+00
1.550387596899224896e+00,1.867552263733247386e+01,5.941644655026670385e+00
1.600400100025006322e+00,1.897303338139018791e+01,5.996830949947724143e+00
1.650412603150787749e+00,1.926905010496824389e+01,6.053712923610629737e+00
1.700425106276569176e+00,1.956329919650909233e+01,6.112304598265891009e+00
1.750437609402350603e+00,1.985550656281908743e+01,6.172620042779316307e+00
1.800450112528132030e+00,2.014539790628409932e+01,6.234673372538237501e+00
1.850462615653913456e+00,2.043270002177228761e+01,6.298478725517373533e+00
1.900475118779695105e+00,2.071714141951674293e+01,6.364050250776000617e+00
1.950487621905476532e+00,2.099845232511544779e+01,6.431402108457953126e+00
2.000500125031257959e+00,2.127636530918496760e+01,6.500548455343274412e+00
2.050512628157039163e+00,2.155061618965128289e+01,6.571503434271339650e+00
2.100525131282820812e+00,2.182094444411620771e+01,6.644281157805625782e+00
